Date Moment Magnitude Latitude Longitude Depth Vp Vs Mu Vr T1 T2 Length Width StressDrop RadE tau_a
201203201802 114 2.067449e+20   7.5436  16.5000 -98.2200  19.8121   6.4563   3.6982  37.7830   3.3284   6.7352   6.7352  44.8345  31.8016  14.6917 1.295366e+16   2.3673
201203252237 115 6.700160e+19   7.2174 -35.2000 -72.2200  35.2121   7.2121   4.1053  51.1355   3.6948  12.5941   0.8964  93.0646  51.7483   0.8423 1.482774e+15   1.1317
201105051657 120 7.047941e+17   5.8987  55.0200 -160.6900  41.3919   7.4348   4.2002  54.8350   3.7802   0.6787   0.6787   5.1316   5.1316  18.2548 2.766892e+13   2.1527
201105072052 121 5.689617e+17   5.8367  40.2400 142.2400  37.9131   7.3850   4.0855  51.9646   3.6769   0.9610   0.8964   7.0669   7.0669   5.6424 6.113623e+12   0.5584
201105132335 123 1.817021e+18   6.1729  37.4000 141.3400  36.1576   7.4076   4.1862  54.2746   3.7676   5.0997   0.3386  38.4276  28.6948   0.1819 1.191035e+13   0.3558
201105151837 124 6.124302e+18   6.5247  -6.1000 154.4100  47.9455   7.6830   4.3009  59.1482   3.8708   5.4670   0.5139  42.3235  30.6028   0.4849 4.153231e+13   0.4011
201105200046 125 6.266217e+17   5.8647  35.7600 140.8400  33.2182   7.0547   4.0077  47.6754   3.6069   1.1044   0.2748   7.9668   7.9668   4.3374 4.885629e+13   3.7171
201205012243 126 1.561202e+18   6.1290  14.3800 -92.9000  15.9778   6.6570   3.7985  40.6817   3.4187   3.1343   2.9237  21.4302  19.4412   0.6504 4.260684e+12   0.1110
201205070440 128 7.944279e+17   5.9334  41.5500  46.7900  14.3333   5.5807   3.2177  27.3647   2.8959   2.2138   0.5139  12.8217  12.8217   1.3191 2.198857e+13   0.7574
201205122328 129 4.073698e+17   5.7400  38.6100  70.3500   5.6212   4.5147   2.4877  15.2246   2.2389   0.5906   0.5906   2.6447   2.6447  77.0762 1.756265e+14   6.5637
201205190835 130 8.563705e+17   5.9551 -25.7300 -70.5600  34.4000   7.1777   4.0889  50.5527   3.6800   1.5636   1.4586  11.5080  11.5080   1.9666 4.958753e+12   0.2927
201205191905 131 7.773339e+17   5.9271  39.6700 143.3100  12.5101   6.6246   3.7727  41.1549   3.3954   2.2138   1.0302  15.0332  15.0332   0.8008 4.438815e+12   0.2350
201205200203 132 1.931425e+18   6.1906  44.9000  11.2300   5.2424   4.8630   2.7583  19.0904   2.4825   7.2203   0.6332  35.8489  27.3962   0.2289 1.899735e+13   0.1878
201205200720 133 4.801568e+18   6.4543  39.6500 143.1600  12.1152   6.6069   3.7624  40.8476   3.3861   5.8607   1.3606  39.6904  29.3200   0.4444 2.124433e+13   0.1807
201205231502 134 1.261073e+18   6.0672  41.3300 142.0800  47.3535   7.3605   4.0710  51.4919   3.6639   0.7276   0.6787   5.3319   5.3319  29.1180 1.055851e+14   4.3112
201205290700 135 8.212630e+17   5.9430  44.8200  11.0700   4.3939   4.7475   2.6844  17.9256   2.4160   2.7273   1.4586  13.1783  13.1783   1.2559 2.610257e+13   0.5697
201111152342 141 4.516659e+17   5.7699  -5.2800 140.3100  10.5333   5.0922   2.9006  21.2677   2.6106   1.5636   0.5139   8.1638   8.1638   2.9055 1.745918e+13   0.8221
201111231924 143 2.087690e+18   6.2131  37.3700 141.3700  35.5970   7.3972   4.1819  54.1039   3.7637   3.3600   0.3386  25.2922  21.7119   0.5796 2.397984e+13   0.6215
201111241025 144 2.334072e+18   6.2454  41.9000 142.6400  45.2576   7.2977   4.0297  50.2298   3.6267   2.7273   0.2748  19.7826  18.4315   1.1833 6.679525e+13   1.4375
201111281226 145 1.934096e+18   6.1910  -5.4800 153.7200  25.7859   7.3154   4.0350  50.5458   3.6315   1.4586   1.4586  10.5935  10.5935   5.6942 2.979938e+13   0.7788
201109010614 146 1.439162e+18   6.1054 -12.3600 166.6600  46.5960   7.6576   4.2930  58.8467   3.8637   1.4586   0.7276  11.2710  11.2710   3.5180 2.350623e+13   0.9612
201109021055 147 2.560522e+19   6.9389  52.1700 -171.7100  40.5434   7.4198   4.1043  52.7243   3.6939   8.2977   0.4172  61.3010  39.1758   0.8268 7.396947e+14   1.5231
201109122244 151 9.851301e+17   5.9957  -3.6300 144.1800   8.0000   6.0519   3.4013  31.9339   3.0611   2.5441   2.5441  15.5757  15.5757   0.9125 1.723726e+13   0.5588
201109150800 153 3.054738e+18   6.3233  36.2600 141.3400  30.2848   7.2890   4.1347  53.0498   3.7212   2.5441   1.0302  18.9342  17.9008   1.7247 2.860453e+13   0.4968
201109161926 154 1.415439e+19   6.7673  40.2700 142.7800  26.6162   7.2085   3.9706  48.4658   3.5736   7.2203   0.5509  51.6042  34.9272   0.6931 2.224196e+14   0.7616
201109170734 159 5.058338e+17   5.8027  40.2600 142.6700  27.8606   7.2279   3.9833  48.8437   3.5849   1.6762   0.0786  12.0182  12.0182   1.0199 2.864110e+13   2.7656
201109180704 160 3.950933e+17   5.7311  39.8400 143.0800  27.4131   7.1693   4.0777  50.9448   3.6699   0.4794   0.4794   3.5188   3.5188  31.7391 1.954947e+13   2.5208
199003251322 171 1.142210e+20   7.3718   9.8900 -84.8900  14.7202   6.2444   3.6173  36.2309   3.2556  27.0633   1.9263 176.2139  79.2015   0.3213 1.513062e+15   0.4799
199011062014 214 6.100762e+19   7.1903  53.4700 169.9300  25.5798   7.2916   4.0176  50.0731   3.6158   7.7403   1.2692  55.9747  36.8724   2.4538 1.151426e+15   0.9451
199103081136 248 1.000109e+19   6.6667  60.8300 167.1200  22.6566   6.1723   3.5625  34.4914   3.2063   1.4586   1.3606   9.3531   9.3531  42.7810 1.953380e+15   6.7367
199105301317 264 3.201564e+19   7.0036  54.5300 -161.5900  30.1333   7.2593   4.1260  51.9228   3.7134  17.8309   0.7276 132.4262  65.4670   0.1757 1.945124e+14   0.3155
199106200518 267 2.313233e+20   7.5761   1.1700 122.7600  21.1212   7.1249   4.0609  50.4090   3.6548  23.5493   1.7969 172.1376  77.9753   0.6872 2.664353e+15   0.5806
199107020514 269 4.093351e+18   6.4081  -1.1200  99.9200  38.9293   7.4608   4.1198  53.4560   3.7078   1.7969   1.6762  13.3253  13.3253   6.0551 4.600519e+13   0.6008
199107201148 273 8.465400e+17   5.9518  54.5500 -161.6400  34.7182   7.3868   4.1819  54.0904   3.7637   0.8964   0.8964   6.7477   6.7477   9.6436 1.228808e+13   0.7852
199111192228 289 8.073279e+19   7.2714   4.5600 -77.4900  19.1000   6.6553   3.8276  42.1306   3.4449   8.8953   2.2138  61.2860  39.1695   2.6083 1.868078e+15   0.9749
199111261940 290 4.926508e+18   6.4617  42.0200 142.5500  56.5929   7.5875   4.2408  56.3779   3.8167   1.2692   1.1839   9.6881   9.6881  18.9621 1.755813e+14   2.0093
199112130233 295 8.381964e+18   6.6156  45.5800 151.6300  31.3737   7.4529   4.2107  55.8737   3.7897   1.6762   1.5636  12.7045  12.7045  14.3069 3.076890e+14   2.0510
199112131859 297 5.771690e+18   6.5075  45.5500 151.7200  17.0909   7.1250   4.0614  50.4284   3.6553   3.1343   0.3891  22.9133  20.3282   2.0407 1.560188e+14   1.3632
199112220843 303 2.923403e+20   7.6439  45.4700 151.0500  32.8000   7.4856   4.2256  56.4380   3.8031  54.2493   1.9263 412.6277 139.6622   0.1140 3.831107e+14   0.0740
