Fault index 1 = needles segment
Fault index 2-5 = Kekerengu, Jordan Thrust, Upper Kowhai segments
Fault index 6-7 = Hope segments
Fault index 8-16 = Humps/Hunderlee segments
Fault index 17-18 = London Hills
Fault index 19 = Fidget
Fault index 20 = interface
longditude (centre of patch), latitude (centre of patch), strike, dip, rake, slip (m), length (km), top of patch (km), bottom of patch (km) index	
173.3066 -42.4177 241.389540 70.000000 180.000000 0.777564 1.929235 0.000000 2.777778	   6.0000000e+00
173.3012 -42.4096 241.389540 70.000000 180.000000 0.759391 1.929235 2.777778 5.555556	   6.0000000e+00
173.2958 -42.4014 241.389540 70.000000 180.000000 0.445847 1.929235 5.555556 8.333333	   6.0000000e+00
173.2904 -42.3932 241.389540 70.000000 180.000000 0.116400 1.929235 8.333333 11.111111	   6.0000000e+00
173.2850 -42.3851 241.389540 70.000000 180.000000 0.000000 1.929235 11.111111 13.888889	   6.0000000e+00
173.2796 -42.3769 241.389540 70.000000 180.000000 0.000000 1.929235 13.888889 16.666667	   6.0000000e+00
173.2742 -42.3687 241.389540 70.000000 180.000000 0.000000 1.929235 16.666667 19.444444	   6.0000000e+00
173.2688 -42.3606 241.389540 70.000000 90.000000 0.073186 1.929235 19.444444 22.222222	   6.0000000e+00
173.2634 -42.3524 241.389540 70.000000 180.000000 0.000000 1.929235 22.222222 25.000000	   6.0000000e+00
173.2855 -42.4254 241.389540 70.000000 180.000000 0.800755 1.929235 0.000000 2.777778	   6.0000000e+00
173.2801 -42.4172 241.389540 70.000000 180.000000 0.746146 1.929235 2.777778 5.555556	   6.0000000e+00
173.2747 -42.4090 241.389540 70.000000 180.000000 0.411466 1.929235 5.555556 8.333333	   6.0000000e+00
173.2693 -42.4009 241.389540 70.000000 180.000000 0.098564 1.929235 8.333333 11.111111	   6.0000000e+00
173.2639 -42.3927 241.389540 70.000000 180.000000 0.000000 1.929235 11.111111 13.888889	   6.0000000e+00
173.2585 -42.3845 241.389540 70.000000 180.000000 0.000000 1.929235 13.888889 16.666667	   6.0000000e+00
173.2531 -42.3764 241.389540 70.000000 180.000000 0.000000 1.929235 16.666667 19.444444	   6.0000000e+00
173.2477 -42.3682 241.389540 70.000000 180.000000 0.000000 1.929235 19.444444 22.222222	   6.0000000e+00
173.2424 -42.3600 241.389540 70.000000 180.000000 0.000000 1.929235 22.222222 25.000000	   6.0000000e+00
173.2645 -42.4330 241.389540 70.000000 180.000000 0.402888 1.929235 0.000000 2.777778	   6.0000000e+00
173.2591 -42.4248 241.389540 70.000000 180.000000 0.420292 1.929235 2.777778 5.555556	   6.0000000e+00
173.2537 -42.4167 241.389540 70.000000 180.000000 0.229614 1.929235 5.555556 8.333333	   6.0000000e+00
173.2483 -42.4085 241.389540 70.000000 180.000000 0.041979 1.929235 8.333333 11.111111	   6.0000000e+00
173.2429 -42.4003 241.389540 70.000000 180.000000 0.000000 1.929235 11.111111 13.888889	   6.0000000e+00
173.2375 -42.3922 241.389540 70.000000 180.000000 0.000000 1.929235 13.888889 16.666667	   6.0000000e+00
173.2321 -42.3840 241.389540 70.000000 180.000000 0.000000 1.929235 16.666667 19.444444	   6.0000000e+00
173.2267 -42.3758 241.389540 70.000000 180.000000 0.000000 1.929235 19.444444 22.222222	   6.0000000e+00
173.2213 -42.3676 241.389540 70.000000 180.000000 0.000000 1.929235 22.222222 25.000000	   6.0000000e+00
173.2434 -42.4406 241.389540 70.000000 180.000000 0.000000 1.929235 0.000000 2.777778	   6.0000000e+00
173.2380 -42.4325 241.389540 70.000000 180.000000 0.064291 1.929235 2.777778 5.555556	   6.0000000e+00
173.2327 -42.4243 241.389540 70.000000 180.000000 0.046573 1.929235 5.555556 8.333333	   6.0000000e+00
173.2273 -42.4161 241.389540 70.000000 180.000000 0.000000 1.929235 8.333333 11.111111	   6.0000000e+00
173.2219 -42.4080 241.389540 70.000000 180.000000 0.000000 1.929235 11.111111 13.888889	   6.0000000e+00
173.2165 -42.3998 241.389540 70.000000 180.000000 0.000000 1.929235 13.888889 16.666667	   6.0000000e+00
173.2111 -42.3916 241.389540 70.000000 180.000000 0.000000 1.929235 16.666667 19.444444	   6.0000000e+00
173.2057 -42.3834 241.389540 70.000000 180.000000 0.000000 1.929235 19.444444 22.222222	   6.0000000e+00
173.2003 -42.3753 241.389540 70.000000 180.000000 0.000000 1.929235 22.222222 25.000000	   6.0000000e+00
173.2224 -42.4483 241.389540 70.000000 180.000000 0.000000 1.929235 0.000000 2.777778	   6.0000000e+00
173.2170 -42.4401 241.389540 70.000000 180.000000 0.000000 1.929235 2.777778 5.555556	   6.0000000e+00
173.2116 -42.4319 241.389540 70.000000 180.000000 0.000000 1.929235 5.555556 8.333333	   6.0000000e+00
173.2062 -42.4237 241.389540 70.000000 180.000000 0.000000 1.929235 8.333333 11.111111	   6.0000000e+00
173.2008 -42.4156 241.389540 70.000000 180.000000 0.000000 1.929235 11.111111 13.888889	   6.0000000e+00
173.1954 -42.4074 241.389540 70.000000 180.000000 0.000000 1.929235 13.888889 16.666667	   6.0000000e+00
173.1901 -42.3992 241.389540 70.000000 180.000000 0.000000 1.929235 16.666667 19.444444	   6.0000000e+00
173.1847 -42.3911 241.389540 70.000000 180.000000 0.000000 1.929235 19.444444 22.222222	   6.0000000e+00
173.1793 -42.3829 241.389540 70.000000 180.000000 0.000000 1.929235 22.222222 25.000000	   6.0000000e+00
173.2013 -42.4559 241.389540 70.000000 180.000000 0.000000 1.929235 0.000000 2.777778	   6.0000000e+00
173.1960 -42.4477 241.389540 70.000000 180.000000 0.059324 1.929235 2.777778 5.555556	   6.0000000e+00
173.1906 -42.4395 241.389540 70.000000 180.000000 0.000000 1.929235 5.555556 8.333333	   6.0000000e+00
173.1852 -42.4314 241.389540 70.000000 180.000000 0.000000 1.929235 8.333333 11.111111	   6.0000000e+00
173.1798 -42.4232 241.389540 70.000000 180.000000 0.000000 1.929235 11.111111 13.888889	   6.0000000e+00
173.1744 -42.4150 241.389540 70.000000 180.000000 0.000000 1.929235 13.888889 16.666667	   6.0000000e+00
173.1690 -42.4068 241.389540 70.000000 180.000000 0.000000 1.929235 16.666667 19.444444	   6.0000000e+00
173.1636 -42.3987 241.389540 70.000000 180.000000 0.000000 1.929235 19.444444 22.222222	   6.0000000e+00
173.1582 -42.3905 241.389540 70.000000 180.000000 0.000000 1.929235 22.222222 25.000000	   6.0000000e+00
173.1803 -42.4635 241.389540 70.000000 180.000000 0.577135 1.929235 0.000000 2.777778	   6.0000000e+00
173.1749 -42.4553 241.389540 70.000000 180.000000 0.309757 1.929235 2.777778 5.555556	   6.0000000e+00
173.1695 -42.4471 241.389540 70.000000 180.000000 0.047056 1.929235 5.555556 8.333333	   6.0000000e+00
173.1641 -42.4390 241.389540 70.000000 180.000000 0.000000 1.929235 8.333333 11.111111	   6.0000000e+00
173.1587 -42.4308 241.389540 70.000000 180.000000 0.000000 1.929235 11.111111 13.888889	   6.0000000e+00
173.1534 -42.4226 241.389540 70.000000 180.000000 0.000000 1.929235 13.888889 16.666667	   6.0000000e+00
173.1480 -42.4145 241.389540 70.000000 180.000000 0.000000 1.929235 16.666667 19.444444	   6.0000000e+00
173.1426 -42.4063 241.389540 70.000000 180.000000 0.000000 1.929235 19.444444 22.222222	   6.0000000e+00
173.1372 -42.3981 241.389540 70.000000 180.000000 0.000000 1.929235 22.222222 25.000000	   6.0000000e+00
173.1592 -42.4711 241.389540 70.000000 180.000000 1.780407 1.929235 0.000000 2.777778	   6.0000000e+00
173.1538 -42.4629 241.389540 70.000000 180.000000 0.705195 1.929235 2.777778 5.555556	   6.0000000e+00
173.1484 -42.4548 241.389540 70.000000 180.000000 0.157139 1.929235 5.555556 8.333333	   6.0000000e+00
173.1431 -42.4466 241.389540 70.000000 180.000000 0.000000 1.929235 8.333333 11.111111	   6.0000000e+00
173.1377 -42.4384 241.389540 70.000000 180.000000 0.000000 1.929235 11.111111 13.888889	   6.0000000e+00
173.1323 -42.4302 241.389540 70.000000 180.000000 0.000000 1.929235 13.888889 16.666667	   6.0000000e+00
173.1269 -42.4221 241.389540 70.000000 180.000000 0.000000 1.929235 16.666667 19.444444	   6.0000000e+00
173.1215 -42.4139 241.389540 70.000000 180.000000 0.000000 1.929235 19.444444 22.222222	   6.0000000e+00
173.1162 -42.4057 241.389540 70.000000 180.000000 0.000000 1.929235 22.222222 25.000000	   6.0000000e+00
173.1382 -42.4787 241.389540 70.000000 180.000000 2.698870 1.929235 0.000000 2.777778	   6.0000000e+00
173.1328 -42.4705 241.389540 70.000000 180.000000 1.072879 1.929235 2.777778 5.555556	   6.0000000e+00
173.1274 -42.4624 241.389540 70.000000 180.000000 0.300519 1.929235 5.555556 8.333333	   6.0000000e+00
173.1220 -42.4542 241.389540 70.000000 180.000000 0.022434 1.929235 8.333333 11.111111	   6.0000000e+00
173.1166 -42.4460 241.389540 70.000000 180.000000 0.000000 1.929235 11.111111 13.888889	   6.0000000e+00
173.1112 -42.4378 241.389540 70.000000 180.000000 0.000000 1.929235 13.888889 16.666667	   6.0000000e+00
173.1059 -42.4297 241.389540 70.000000 180.000000 0.000000 1.929235 16.666667 19.444444	   6.0000000e+00
173.1005 -42.4215 241.389540 70.000000 180.000000 0.000000 1.929235 19.444444 22.222222	   6.0000000e+00
173.0951 -42.4133 241.389540 70.000000 180.000000 0.000000 1.929235 22.222222 25.000000	   6.0000000e+00
173.1171 -42.4863 241.389540 70.000000 180.000000 2.831154 1.929235 0.000000 2.777778	   6.0000000e+00
173.1117 -42.4781 241.389540 70.000000 180.000000 1.244521 1.929235 2.777778 5.555556	   6.0000000e+00
173.1063 -42.4700 241.389540 70.000000 180.000000 0.423122 1.929235 5.555556 8.333333	   6.0000000e+00
173.1009 -42.4618 241.389540 70.000000 180.000000 0.069878 1.929235 8.333333 11.111111	   6.0000000e+00
173.0956 -42.4536 241.389540 70.000000 180.000000 0.000000 1.929235 11.111111 13.888889	   6.0000000e+00
173.0902 -42.4454 241.389540 70.000000 180.000000 0.000000 1.929235 13.888889 16.666667	   6.0000000e+00
173.0848 -42.4373 241.389540 70.000000 180.000000 0.000000 1.929235 16.666667 19.444444	   6.0000000e+00
173.0794 -42.4291 241.389540 70.000000 180.000000 0.000000 1.929235 19.444444 22.222222	   6.0000000e+00
173.0741 -42.4209 241.389540 70.000000 180.000000 0.000000 1.929235 22.222222 25.000000	   6.0000000e+00
173.0960 -42.4939 241.389540 70.000000 180.000000 2.314565 1.929235 0.000000 2.777778	   6.0000000e+00
173.0906 -42.4857 241.389540 70.000000 180.000000 1.169652 1.929235 2.777778 5.555556	   6.0000000e+00
173.0852 -42.4776 241.389540 70.000000 180.000000 0.467765 1.929235 5.555556 8.333333	   6.0000000e+00
173.0799 -42.4694 241.389540 70.000000 180.000000 0.111444 1.929235 8.333333 11.111111	   6.0000000e+00
173.0745 -42.4612 241.389540 70.000000 180.000000 0.000000 1.929235 11.111111 13.888889	   6.0000000e+00
173.0691 -42.4530 241.389540 70.000000 180.000000 0.000000 1.929235 13.888889 16.666667	   6.0000000e+00
173.0637 -42.4449 241.389540 70.000000 180.000000 0.000000 1.929235 16.666667 19.444444	   6.0000000e+00
173.0584 -42.4367 241.389540 70.000000 180.000000 0.000000 1.929235 19.444444 22.222222	   6.0000000e+00
173.0530 -42.4285 241.389540 70.000000 180.000000 0.000000 1.929235 22.222222 25.000000	   6.0000000e+00
173.0749 -42.5015 241.389540 70.000000 180.000000 1.533458 1.929235 0.000000 2.777778	   6.0000000e+00
173.0695 -42.4933 241.389540 70.000000 180.000000 0.874511 1.929235 2.777778 5.555556	   6.0000000e+00
173.0642 -42.4852 241.389540 70.000000 180.000000 0.394266 1.929235 5.555556 8.333333	   6.0000000e+00
173.0588 -42.4770 241.389540 70.000000 180.000000 0.115421 1.929235 8.333333 11.111111	   6.0000000e+00
173.0534 -42.4688 241.389540 70.000000 180.000000 0.004401 1.929235 11.111111 13.888889	   6.0000000e+00
173.0480 -42.4606 241.389540 70.000000 180.000000 0.000000 1.929235 13.888889 16.666667	   6.0000000e+00
173.0427 -42.4525 241.389540 70.000000 180.000000 0.000000 1.929235 16.666667 19.444444	   6.0000000e+00
173.0373 -42.4443 241.389540 70.000000 180.000000 0.000000 1.929235 19.444444 22.222222	   6.0000000e+00
173.0319 -42.4361 241.389540 70.000000 180.000000 0.000000 1.929235 22.222222 25.000000	   6.0000000e+00
173.0538 -42.5091 241.389540 70.000000 180.000000 0.669762 1.929235 0.000000 2.777778	   6.0000000e+00
173.0485 -42.5009 241.389540 70.000000 180.000000 0.432106 1.929235 2.777778 5.555556	   6.0000000e+00
173.0431 -42.4928 241.389540 70.000000 180.000000 0.208431 1.929235 5.555556 8.333333	   6.0000000e+00
173.0377 -42.4846 241.389540 70.000000 180.000000 0.068486 1.929235 8.333333 11.111111	   6.0000000e+00
173.0323 -42.4764 241.389540 70.000000 180.000000 0.004605 1.929235 11.111111 13.888889	   6.0000000e+00
173.0270 -42.4682 241.389540 70.000000 180.000000 0.000000 1.929235 13.888889 16.666667	   6.0000000e+00
173.0216 -42.4600 241.389540 70.000000 180.000000 0.000000 1.929235 16.666667 19.444444	   6.0000000e+00
173.0162 -42.4519 241.389540 70.000000 180.000000 0.000000 1.929235 19.444444 22.222222	   6.0000000e+00
173.0109 -42.4437 241.389540 70.000000 180.000000 0.000000 1.929235 22.222222 25.000000	   6.0000000e+00
174.0407 -42.1693 243.778034 70.000000 180.000000 0.000000 1.965706 0.000000 2.777778	   7.0000000e+00
174.0357 -42.1610 243.778034 70.000000 180.000000 0.012643 1.965706 2.777778 5.555556	   7.0000000e+00
174.0307 -42.1527 243.778034 70.000000 180.000000 0.000000 1.965706 5.555556 8.333333	   7.0000000e+00
174.0257 -42.1444 243.778034 70.000000 180.000000 0.000000 1.965706 8.333333 11.111111	   7.0000000e+00
174.0206 -42.1361 243.778034 70.000000 180.000000 0.000000 1.965706 11.111111 13.888889	   7.0000000e+00
174.0156 -42.1278 243.778034 70.000000 180.000000 0.000000 1.965706 13.888889 16.666667	   7.0000000e+00
174.0106 -42.1195 243.778034 70.000000 180.000000 0.000000 1.965706 16.666667 19.444444	   7.0000000e+00
174.0056 -42.1112 243.778034 70.000000 180.000000 0.000000 1.965706 19.444444 22.222222	   7.0000000e+00
174.0006 -42.1029 243.778034 70.000000 180.000000 0.000000 1.965706 22.222222 25.000000	   7.0000000e+00
174.0190 -42.1766 243.778034 70.000000 180.000000 0.000000 1.965706 0.000000 2.777778	   7.0000000e+00
174.0140 -42.1683 243.778034 70.000000 180.000000 0.000000 1.965706 2.777778 5.555556	   7.0000000e+00
174.0090 -42.1600 243.778034 70.000000 180.000000 0.000000 1.965706 5.555556 8.333333	   7.0000000e+00
174.0040 -42.1517 243.778034 70.000000 180.000000 0.000000 1.965706 8.333333 11.111111	   7.0000000e+00
173.9990 -42.1434 243.778034 70.000000 180.000000 0.000000 1.965706 11.111111 13.888889	   7.0000000e+00
173.9940 -42.1351 243.778034 70.000000 180.000000 0.000000 1.965706 13.888889 16.666667	   7.0000000e+00
173.9889 -42.1268 243.778034 70.000000 90.000000 0.193023 1.965706 16.666667 19.444444	   7.0000000e+00
173.9839 -42.1185 243.778034 70.000000 90.000000 0.014611 1.965706 19.444444 22.222222	   7.0000000e+00
173.9789 -42.1102 243.778034 70.000000 180.000000 0.000000 1.965706 22.222222 25.000000	   7.0000000e+00
173.9973 -42.1838 243.778034 70.000000 180.000000 0.000000 1.965706 0.000000 2.777778	   7.0000000e+00
173.9923 -42.1755 243.778034 70.000000 180.000000 0.000000 1.965706 2.777778 5.555556	   7.0000000e+00
173.9873 -42.1672 243.778034 70.000000 180.000000 0.000000 1.965706 5.555556 8.333333	   7.0000000e+00
173.9823 -42.1589 243.778034 70.000000 180.000000 0.000000 1.965706 8.333333 11.111111	   7.0000000e+00
173.9773 -42.1506 243.778034 70.000000 180.000000 0.000000 1.965706 11.111111 13.888889	   7.0000000e+00
173.9723 -42.1423 243.778034 70.000000 180.000000 0.000000 1.965706 13.888889 16.666667	   7.0000000e+00
173.9673 -42.1340 243.778034 70.000000 180.000000 0.000000 1.965706 16.666667 19.444444	   7.0000000e+00
173.9623 -42.1257 243.778034 70.000000 180.000000 0.000000 1.965706 19.444444 22.222222	   7.0000000e+00
173.9572 -42.1174 243.778034 70.000000 180.000000 0.000000 1.965706 22.222222 25.000000	   7.0000000e+00
173.9756 -42.1911 243.778034 70.000000 180.000000 0.000000 1.965706 0.000000 2.777778	   7.0000000e+00
173.9706 -42.1828 243.778034 70.000000 180.000000 0.000000 1.965706 2.777778 5.555556	   7.0000000e+00
173.9656 -42.1745 243.778034 70.000000 180.000000 0.000000 1.965706 5.555556 8.333333	   7.0000000e+00
173.9606 -42.1662 243.778034 70.000000 180.000000 0.000000 1.965706 8.333333 11.111111	   7.0000000e+00
173.9556 -42.1579 243.778034 70.000000 180.000000 0.000000 1.965706 11.111111 13.888889	   7.0000000e+00
173.9506 -42.1496 243.778034 70.000000 180.000000 0.000000 1.965706 13.888889 16.666667	   7.0000000e+00
173.9456 -42.1413 243.778034 70.000000 90.000000 0.016791 1.965706 16.666667 19.444444	   7.0000000e+00
173.9406 -42.1330 243.778034 70.000000 180.000000 0.000000 1.965706 19.444444 22.222222	   7.0000000e+00
173.9356 -42.1247 243.778034 70.000000 180.000000 0.000000 1.965706 22.222222 25.000000	   7.0000000e+00
173.9539 -42.1983 243.778034 70.000000 180.000000 0.000000 1.965706 0.000000 2.777778	   7.0000000e+00
173.9489 -42.1900 243.778034 70.000000 180.000000 0.000000 1.965706 2.777778 5.555556	   7.0000000e+00
173.9439 -42.1817 243.778034 70.000000 180.000000 0.000000 1.965706 5.555556 8.333333	   7.0000000e+00
173.9389 -42.1734 243.778034 70.000000 180.000000 0.000000 1.965706 8.333333 11.111111	   7.0000000e+00
173.9339 -42.1651 243.778034 70.000000 180.000000 0.000000 1.965706 11.111111 13.888889	   7.0000000e+00
173.9289 -42.1568 243.778034 70.000000 180.000000 0.000000 1.965706 13.888889 16.666667	   7.0000000e+00
173.9239 -42.1485 243.778034 70.000000 90.000000 0.456242 1.965706 16.666667 19.444444	   7.0000000e+00
173.9189 -42.1402 243.778034 70.000000 90.000000 0.010379 1.965706 19.444444 22.222222	   7.0000000e+00
173.9139 -42.1319 243.778034 70.000000 180.000000 0.000000 1.965706 22.222222 25.000000	   7.0000000e+00
173.9322 -42.2056 243.778034 70.000000 180.000000 0.414061 1.965706 0.000000 2.777778	   7.0000000e+00
173.9272 -42.1973 243.778034 70.000000 180.000000 0.145876 1.965706 2.777778 5.555556	   7.0000000e+00
173.9222 -42.1890 243.778034 70.000000 180.000000 0.000000 1.965706 5.555556 8.333333	   7.0000000e+00
173.9172 -42.1807 243.778034 70.000000 180.000000 0.000000 1.965706 8.333333 11.111111	   7.0000000e+00
173.9122 -42.1724 243.778034 70.000000 180.000000 0.000000 1.965706 11.111111 13.888889	   7.0000000e+00
173.9072 -42.1641 243.778034 70.000000 180.000000 0.000000 1.965706 13.888889 16.666667	   7.0000000e+00
173.9022 -42.1558 243.778034 70.000000 90.000000 0.289426 1.965706 16.666667 19.444444	   7.0000000e+00
173.8972 -42.1475 243.778034 70.000000 90.000000 0.006692 1.965706 19.444444 22.222222	   7.0000000e+00
173.8922 -42.1391 243.778034 70.000000 180.000000 0.000000 1.965706 22.222222 25.000000	   7.0000000e+00
173.9105 -42.2128 243.778034 70.000000 180.000000 1.234667 1.965706 0.000000 2.777778	   7.0000000e+00
173.9055 -42.2045 243.778034 70.000000 180.000000 0.465956 1.965706 2.777778 5.555556	   7.0000000e+00
173.9005 -42.1962 243.778034 70.000000 180.000000 0.000000 1.965706 5.555556 8.333333	   7.0000000e+00
173.8955 -42.1879 243.778034 70.000000 180.000000 0.000000 1.965706 8.333333 11.111111	   7.0000000e+00
173.8905 -42.1796 243.778034 70.000000 180.000000 0.000000 1.965706 11.111111 13.888889	   7.0000000e+00
173.8855 -42.1713 243.778034 70.000000 180.000000 0.000000 1.965706 13.888889 16.666667	   7.0000000e+00
173.8805 -42.1630 243.778034 70.000000 90.000000 0.122817 1.965706 16.666667 19.444444	   7.0000000e+00
173.8755 -42.1547 243.778034 70.000000 90.000000 0.009872 1.965706 19.444444 22.222222	   7.0000000e+00
173.8705 -42.1464 243.778034 70.000000 180.000000 0.000000 1.965706 22.222222 25.000000	   7.0000000e+00
173.8888 -42.2200 243.778034 70.000000 180.000000 2.481156 1.965706 0.000000 2.777778	   7.0000000e+00
173.8838 -42.2117 243.778034 70.000000 180.000000 1.056101 1.965706 2.777778 5.555556	   7.0000000e+00
173.8788 -42.2034 243.778034 70.000000 180.000000 0.139281 1.965706 5.555556 8.333333	   7.0000000e+00
173.8738 -42.1951 243.778034 70.000000 180.000000 0.000000 1.965706 8.333333 11.111111	   7.0000000e+00
173.8688 -42.1868 243.778034 70.000000 180.000000 0.000000 1.965706 11.111111 13.888889	   7.0000000e+00
173.8638 -42.1785 243.778034 70.000000 180.000000 0.000000 1.965706 13.888889 16.666667	   7.0000000e+00
173.8588 -42.1702 243.778034 70.000000 90.000000 0.110365 1.965706 16.666667 19.444444	   7.0000000e+00
173.8538 -42.1619 243.778034 70.000000 90.000000 0.009776 1.965706 19.444444 22.222222	   7.0000000e+00
173.8488 -42.1536 243.778034 70.000000 180.000000 0.000000 1.965706 22.222222 25.000000	   7.0000000e+00
173.8671 -42.2273 243.778034 70.000000 180.000000 4.142760 1.965706 0.000000 2.777778	   7.0000000e+00
173.8621 -42.2190 243.778034 70.000000 180.000000 1.931899 1.965706 2.777778 5.555556	   7.0000000e+00
173.8571 -42.2107 243.778034 70.000000 180.000000 0.463736 1.965706 5.555556 8.333333	   7.0000000e+00
173.8521 -42.2024 243.778034 70.000000 180.000000 0.000000 1.965706 8.333333 11.111111	   7.0000000e+00
173.8471 -42.1940 243.778034 70.000000 180.000000 0.000000 1.965706 11.111111 13.888889	   7.0000000e+00
173.8421 -42.1857 243.778034 70.000000 180.000000 0.000000 1.965706 13.888889 16.666667	   7.0000000e+00
173.8371 -42.1774 243.778034 70.000000 90.000000 0.254907 1.965706 16.666667 19.444444	   7.0000000e+00
173.8321 -42.1691 243.778034 70.000000 90.000000 0.015297 1.965706 19.444444 22.222222	   7.0000000e+00
173.8271 -42.1608 243.778034 70.000000 180.000000 0.000000 1.965706 22.222222 25.000000	   7.0000000e+00
173.8454 -42.2345 243.778034 70.000000 180.000000 5.996592 1.965706 0.000000 2.777778	   7.0000000e+00
173.8404 -42.2262 243.778034 70.000000 180.000000 2.961483 1.965706 2.777778 5.555556	   7.0000000e+00
173.8354 -42.2179 243.778034 70.000000 180.000000 0.933338 1.965706 5.555556 8.333333	   7.0000000e+00
173.8304 -42.2096 243.778034 70.000000 180.000000 0.088893 1.965706 8.333333 11.111111	   7.0000000e+00
173.8254 -42.2013 243.778034 70.000000 180.000000 0.000000 1.965706 11.111111 13.888889	   7.0000000e+00
173.8204 -42.1930 243.778034 70.000000 180.000000 0.000000 1.965706 13.888889 16.666667	   7.0000000e+00
173.8154 -42.1847 243.778034 70.000000 180.000000 0.000000 1.965706 16.666667 19.444444	   7.0000000e+00
173.8104 -42.1764 243.778034 70.000000 180.000000 0.000000 1.965706 19.444444 22.222222	   7.0000000e+00
173.8054 -42.1680 243.778034 70.000000 180.000000 0.000000 1.965706 22.222222 25.000000	   7.0000000e+00
173.8236 -42.2417 243.778034 70.000000 180.000000 7.626599 1.965706 0.000000 2.777778	   7.0000000e+00
173.8186 -42.2334 243.778034 70.000000 180.000000 3.907280 1.965706 2.777778 5.555556	   7.0000000e+00
173.8136 -42.2251 243.778034 70.000000 180.000000 1.422025 1.965706 5.555556 8.333333	   7.0000000e+00
173.8086 -42.2168 243.778034 70.000000 180.000000 0.235877 1.965706 8.333333 11.111111	   7.0000000e+00
173.8036 -42.2085 243.778034 70.000000 180.000000 0.000000 1.965706 11.111111 13.888889	   7.0000000e+00
173.7987 -42.2002 243.778034 70.000000 180.000000 0.000000 1.965706 13.888889 16.666667	   7.0000000e+00
173.7937 -42.1919 243.778034 70.000000 180.000000 0.000000 1.965706 16.666667 19.444444	   7.0000000e+00
173.7887 -42.1836 243.778034 70.000000 180.000000 0.000000 1.965706 19.444444 22.222222	   7.0000000e+00
173.7837 -42.1753 243.778034 70.000000 180.000000 0.000000 1.965706 22.222222 25.000000	   7.0000000e+00
173.8019 -42.2489 243.778034 70.000000 180.000000 8.562966 1.965706 0.000000 2.777778	   7.0000000e+00
173.7969 -42.2406 243.778034 70.000000 180.000000 4.514103 1.965706 2.777778 5.555556	   7.0000000e+00
173.7919 -42.2323 243.778034 70.000000 180.000000 1.781334 1.965706 5.555556 8.333333	   7.0000000e+00
173.7869 -42.2240 243.778034 70.000000 180.000000 0.370036 1.965706 8.333333 11.111111	   7.0000000e+00
173.7819 -42.2157 243.778034 70.000000 180.000000 0.000000 1.965706 11.111111 13.888889	   7.0000000e+00
173.7769 -42.2074 243.778034 70.000000 180.000000 0.000000 1.965706 13.888889 16.666667	   7.0000000e+00
173.7719 -42.1991 243.778034 70.000000 180.000000 0.000000 1.965706 16.666667 19.444444	   7.0000000e+00
173.7670 -42.1908 243.778034 70.000000 180.000000 0.000000 1.965706 19.444444 22.222222	   7.0000000e+00
173.7620 -42.1825 243.778034 70.000000 180.000000 0.000000 1.965706 22.222222 25.000000	   7.0000000e+00
173.7801 -42.2561 243.778034 70.000000 180.000000 8.474486 1.965706 0.000000 2.777778	   7.0000000e+00
173.7752 -42.2478 243.778034 70.000000 180.000000 4.606703 1.965706 2.777778 5.555556	   7.0000000e+00
173.7702 -42.2395 243.778034 70.000000 180.000000 1.907047 1.965706 5.555556 8.333333	   7.0000000e+00
173.7652 -42.2312 243.778034 70.000000 180.000000 0.437594 1.965706 8.333333 11.111111	   7.0000000e+00
173.7602 -42.2229 243.778034 70.000000 180.000000 0.000000 1.965706 11.111111 13.888889	   7.0000000e+00
173.7552 -42.2146 243.778034 70.000000 180.000000 0.000000 1.965706 13.888889 16.666667	   7.0000000e+00
173.7502 -42.2063 243.778034 70.000000 180.000000 0.000000 1.965706 16.666667 19.444444	   7.0000000e+00
173.7452 -42.1980 243.778034 70.000000 180.000000 0.000000 1.965706 19.444444 22.222222	   7.0000000e+00
173.7403 -42.1897 243.778034 70.000000 180.000000 0.000000 1.965706 22.222222 25.000000	   7.0000000e+00
173.7584 -42.2633 243.778034 70.000000 180.000000 7.385014 1.965706 0.000000 2.777778	   7.0000000e+00
173.7534 -42.2550 243.778034 70.000000 180.000000 4.174205 1.965706 2.777778 5.555556	   7.0000000e+00
173.7484 -42.2467 243.778034 70.000000 180.000000 1.779527 1.965706 5.555556 8.333333	   7.0000000e+00
173.7434 -42.2384 243.778034 70.000000 180.000000 0.421005 1.965706 8.333333 11.111111	   7.0000000e+00
173.7385 -42.2301 243.778034 70.000000 180.000000 0.000000 1.965706 11.111111 13.888889	   7.0000000e+00
173.7335 -42.2218 243.778034 70.000000 180.000000 0.000000 1.965706 13.888889 16.666667	   7.0000000e+00
173.7285 -42.2135 243.778034 70.000000 180.000000 0.000000 1.965706 16.666667 19.444444	   7.0000000e+00
173.7235 -42.2052 243.778034 70.000000 180.000000 0.000000 1.965706 19.444444 22.222222	   7.0000000e+00
173.7185 -42.1969 243.778034 70.000000 180.000000 0.000000 1.965706 22.222222 25.000000	   7.0000000e+00
173.7367 -42.2706 243.778034 70.000000 180.000000 5.771904 1.965706 0.000000 2.777778	   7.0000000e+00
173.7317 -42.2622 243.778034 70.000000 180.000000 3.387886 1.965706 2.777778 5.555556	   7.0000000e+00
173.7267 -42.2539 243.778034 70.000000 180.000000 1.459447 1.965706 5.555556 8.333333	   7.0000000e+00
