Fault index 1 = needles segment
Fault index 2-5 = Kekerengu, Jordan Thrust, Upper Kowhai segments
Fault index 6-7 = Hope segments
Fault index 8-16 = Humps/Hunderlee segments
Fault index 17-18 = London Hills
Fault index 19 = Fidget
Fault index 20 = interface
longditude (centre of patch), latitude (centre of patch), strike, dip, rake, slip (m), length (km), top of patch (km), bottom of patch (km) index	
174.3263 -41.7069 218.290163 70.000000 90.000000 0.416639 2.006960 15.625000 18.750000	   1.0000000e+00
174.3158 -41.7003 218.290163 70.000000 90.000000 0.263393 2.006960 18.750000 21.875000	   1.0000000e+00
174.3053 -41.6937 218.290163 70.000000 90.000000 0.100337 2.006960 21.875000 25.000000	   1.0000000e+00
174.3630 -41.7537 218.290163 70.000000 179.220060 11.480955 2.006960 0.000000 3.125000	   1.0000000e+00
174.3526 -41.7471 218.290163 70.000000 177.098619 5.149929 2.006960 3.125000 6.250000	   1.0000000e+00
174.3421 -41.7405 218.290163 70.000000 157.398695 1.119172 2.006960 6.250000 9.375000	   1.0000000e+00
174.3316 -41.7339 218.290163 70.000000 90.000000 0.710168 2.006960 9.375000 12.500000	   1.0000000e+00
174.3212 -41.7273 218.290163 70.000000 90.000000 0.848910 2.006960 12.500000 15.625000	   1.0000000e+00
174.3107 -41.7207 218.290163 70.000000 90.000000 0.741714 2.006960 15.625000 18.750000	   1.0000000e+00
174.3003 -41.7141 218.290163 70.000000 90.000000 0.475668 2.006960 18.750000 21.875000	   1.0000000e+00
174.2898 -41.7075 218.290163 70.000000 90.000000 0.199649 2.006960 21.875000 25.000000	   1.0000000e+00
174.3475 -41.7675 218.290163 70.000000 177.281931 12.060002 2.006960 0.000000 3.125000	   1.0000000e+00
174.3370 -41.7609 218.290163 70.000000 172.542254 5.489379 2.006960 3.125000 6.250000	   1.0000000e+00
174.3266 -41.7543 218.290163 70.000000 142.023538 1.532043 2.006960 6.250000 9.375000	   1.0000000e+00
174.3161 -41.7477 218.290163 70.000000 90.000000 1.232494 2.006960 9.375000 12.500000	   1.0000000e+00
174.3057 -41.7411 218.290163 70.000000 90.000000 1.307299 2.006960 12.500000 15.625000	   1.0000000e+00
174.2952 -41.7345 218.290163 70.000000 90.000000 1.088500 2.006960 15.625000 18.750000	   1.0000000e+00
174.2847 -41.7279 218.290163 70.000000 90.000000 0.697147 2.006960 18.750000 21.875000	   1.0000000e+00
174.2743 -41.7213 218.290163 70.000000 90.000000 0.304352 2.006960 21.875000 25.000000	   1.0000000e+00
